,Rank,Team,GM,W-L,FGM,FGA,FG%,Madness,Years
505,33.0,Auburn (SEC),2.0,1-1,49.0,116.0,42.2,1.0,22-23
506,31.0,Maryland (Big Ten),2.0,1-1,42.0,99.0,42.4,1.0,22-23
507,29.0,Northwestern (Big Ten),2.0,1-1,48.0,112.0,42.9,1.0,22-23
508,23.0,Indiana (Big Ten),2.0,1-1,55.0,125.0,44.0,1.0,22-23
509,20.0,Penn St. (Big Ten),2.0,1-1,52.0,116.0,44.8,1.0,22-23
510,18.0,Marquette (Big East),2.0,1-1,49.0,108.0,45.4,1.0,22-23
511,17.0,Missouri (SEC),2.0,1-1,52.0,114.0,45.6,1.0,22-23
512,15.0,Duke (ACC),2.0,1-1,52.0,113.0,46.0,1.0,22-23
513,5.0,Baylor (Big 12),2.0,1-1,57.0,114.0,50.0,1.0,22-23
514,4.0,Kansas (Big 12),2.0,1-1,62.0,123.0,50.4,1.0,22-23
515,1.0,Arizona St. (Pac-12),2.0,1-1,60.0,107.0,56.1,1.0,22-23
516,68.0,Iowa St. (Big 12),1.0,0-1,14.0,60.0,23.3,1.0,22-23
517,67.0,Northern Ky. (Horizon),1.0,0-1,19.0,69.0,27.5,1.0,22-23
518,66.0,Oral Roberts (Summit League),1.0,0-1,19.0,63.0,30.2,1.0,22-23
519,65.0,Kent St. (MAC),1.0,0-1,22.0,69.0,31.9,1.0,22-23
520,64.0,Col. of Charleston (CAA),1.0,0-1,18.0,56.0,32.1,1.0,22-23
521,63.0,Texas A&M (SEC),1.0,0-1,20.0,59.0,33.9,1.0,22-23
522,61.0,Purdue (Big Ten),1.0,0-1,19.0,53.0,35.8,1.0,22-23
523,60.0,Providence (Big East),1.0,0-1,21.0,58.0,36.2,1.0,22-23
524,58.0,VCU (Atlantic 10),1.0,0-1,18.0,49.0,36.7,1.0,22-23
525,56.0,UNC Asheville (Big South),1.0,0-1,19.0,51.0,37.3,1.0,22-23
526,55.0,NC State (ACC),1.0,0-1,24.0,64.0,37.5,1.0,22-23
527,53.0,Mississippi St. (SEC),1.0,0-1,24.0,63.0,38.1,1.0,22-23
528,52.0,Illinois (Big Ten),1.0,0-1,20.0,52.0,38.5,1.0,22-23
529,51.0,Iona (MAAC),1.0,0-1,22.0,57.0,38.6,1.0,22-23
530,50.0,Howard (MEAC),1.0,0-1,26.0,67.0,38.8,1.0,22-23
531,47.0,West Virginia (Big 12),1.0,0-1,22.0,56.0,39.3,1.0,22-23
532,42.0,Louisiana (Sun Belt),1.0,0-1,22.0,55.0,40.0,1.0,22-23
533,42.0,Drake (MVC),1.0,0-1,22.0,55.0,40.0,1.0,22-23
534,42.0,Boise St. (Mountain West),1.0,0-1,26.0,65.0,40.0,1.0,22-23
535,39.0,Iowa (Big Ten),1.0,0-1,28.0,68.0,41.2,1.0,22-23
536,37.0,Southern California (Pac-12),1.0,0-1,24.0,58.0,41.4,1.0,22-23
537,36.0,Texas Southern (SWAC),1.0,0-1,26.0,62.0,41.9,1.0,22-23
538,35.0,Arizona (Pac-12),1.0,0-1,24.0,57.0,42.1,1.0,22-23
539,34.0,Kennesaw St. (ASUN),1.0,0-1,27.0,64.0,42.2,1.0,22-23
540,28.0,Grand Canyon (WAC),1.0,0-1,28.0,65.0,43.1,1.0,22-23
541,26.0,Memphis (AAC),1.0,0-1,25.0,58.0,43.1,1.0,22-23
542,26.0,Colgate (Patriot),1.0,0-1,25.0,58.0,43.1,1.0,22-23
543,25.0,Vermont (America East),1.0,0-1,23.0,53.0,43.4,1.0,22-23
544,21.0,Virginia (ACC),1.0,0-1,24.0,54.0,44.4,1.0,22-23
545,14.0,Montana St. (Big Sky),1.0,0-1,25.0,54.0,46.3,1.0,22-23
546,13.0,UC Santa Barbara (Big West),1.0,0-1,23.0,49.0,46.9,1.0,22-23
547,11.0,Southeast Mo. St. (OVC),1.0,0-1,27.0,57.0,47.4,1.0,22-23
548,10.0,Utah St. (Mountain West),1.0,0-1,28.0,59.0,47.5,1.0,22-23
549,8.0,Nevada (Mountain West),1.0,0-1,25.0,52.0,48.1,1.0,22-23
550,,,,,,,,,22-23
551,,,,,,,,,22-23
552,20.0,Virginia (ACC),6.0,6-0,154.0,341.0,45.2,1.0,18-19
553,19.0,Texas Tech (Big 12),6.0,5-1,153.0,335.0,45.7,1.0,18-19
554,23.0,Michigan St. (Big Ten),5.0,4-1,127.0,286.0,44.4,1.0,18-19
555,17.0,Auburn (SEC),5.0,4-1,141.0,304.0,46.4,1.0,18-19
556,14.0,Kentucky (SEC),4.0,3-1,100.0,215.0,46.5,1.0,18-19
557,9.0,Gonzaga (WCC),4.0,3-1,115.0,242.0,47.5,1.0,18-19
558,4.0,Purdue (Big Ten),4.0,3-1,110.0,225.0,48.9,1.0,18-19
559,3.0,Duke (ACC),4.0,3-1,120.0,245.0,49.0,1.0,18-19
560,46.0,LSU (SEC),3.0,2-1,76.0,187.0,40.6,1.0,18-19
561,43.0,Virginia Tech (ACC),3.0,2-1,69.0,167.0,41.3,1.0,18-19
562,42.0,Michigan (Big Ten),3.0,2-1,65.0,157.0,41.4,1.0,18-19
563,30.0,Florida St. (ACC),3.0,2-1,81.0,187.0,43.3,1.0,18-19
564,18.0,Houston (AAC),3.0,2-1,80.0,173.0,46.2,1.0,18-19
565,15.0,Oregon (Pac-12),3.0,2-1,72.0,155.0,46.5,1.0,18-19
566,11.0,North Carolina (ACC),3.0,2-1,95.0,203.0,46.8,1.0,18-19
567,7.0,Tennessee (SEC),3.0,2-1,92.0,192.0,47.9,1.0,18-19
568,53.0,Maryland (Big Ten),2.0,1-1,51.0,132.0,38.6,1.0,18-19
569,52.0,Ohio St. (Big Ten),2.0,1-1,42.0,107.0,39.3,1.0,18-19
570,50.0,Florida (SEC),2.0,1-1,43.0,108.0,39.8,1.0,18-19
571,48.0,Minnesota (Big Ten),2.0,1-1,47.0,117.0,40.2,1.0,18-19
572,45.0,Villanova (Big East),2.0,1-1,44.0,107.0,41.1,1.0,18-19
573,41.0,UC Irvine (Big West),2.0,1-1,42.0,101.0,41.6,1.0,18-19
574,39.0,North Dakota St. (Summit League),2.0,1-1,46.0,110.0,41.8,1.0,18-19
575,36.0,Liberty (ASUN),2.0,1-1,42.0,99.0,42.4,1.0,18-19
576,35.0,Wofford (SoCon),2.0,1-1,47.0,110.0,42.7,1.0,18-19
577,34.0,Murray St. (OVC),2.0,1-1,50.0,117.0,42.7,1.0,18-19
578,33.0,FDU (NEC),2.0,1-1,45.0,105.0,42.9,1.0,18-19
579,31.0,Washington (Pac-12),2.0,1-1,48.0,111.0,43.2,1.0,18-19
580,25.0,Arizona St. (Pac-12),2.0,1-1,48.0,109.0,44.0,1.0,18-19
581,21.0,Buffalo (MAC),2.0,1-1,50.0,112.0,44.6,1.0,18-19
582,16.0,Iowa (Big Ten),2.0,1-1,52.0,112.0,46.4,1.0,18-19
583,13.0,Belmont (OVC),2.0,1-1,55.0,118.0,46.6,1.0,18-19
584,10.0,Baylor (Big 12),2.0,1-1,53.0,112.0,47.3,1.0,18-19
585,8.0,Oklahoma (Big 12),2.0,1-1,53.0,111.0,47.7,1.0,18-19
586,5.0,UCF (AAC),2.0,1-1,54.0,111.0,48.6,1.0,18-19
587,1.0,Kansas (Big 12),2.0,1-1,61.0,120.0,50.8,1.0,18-19
588,68.0,Old Dominion (CUSA),1.0,0-1,18.0,67.0,26.9,1.0,18-19
589,67.0,Northeastern (CAA),1.0,0-1,16.0,57.0,28.1,1.0,18-19
590,66.0,Georgia St. (Sun Belt),1.0,0-1,18.0,60.0,30.0,1.0,18-19
591,65.0,VCU (Atlantic 10),1.0,0-1,19.0,61.0,31.1,1.0,18-19
592,64.0,St. John's (NY) (Big East),1.0,0-1,22.0,69.0,31.9,1.0,18-19
593,63.0,Abilene Christian (Southland),1.0,0-1,17.0,53.0,32.1,1.0,18-19
594,62.0,Marquette (Big East),1.0,0-1,24.0,74.0,32.4,1.0,18-19
595,60.0,Montana (Big Sky),1.0,0-1,20.0,60.0,33.3,1.0,18-19
596,60.0,Wisconsin (Big Ten),1.0,0-1,20.0,60.0,33.3,1.0,18-19
597,59.0,Nevada (Mountain West),1.0,0-1,19.0,55.0,34.5,1.0,18-19
598,58.0,Utah St. (Mountain West),1.0,0-1,19.0,54.0,35.2,1.0,18-19
599,57.0,Saint Louis (Atlantic 10),1.0,0-1,19.0,52.0,36.5,1.0,18-19
600,56.0,Northern Ky. (Horizon),1.0,0-1,23.0,62.0,37.1,1.0,18-19
601,55.0,Kansas St. (Big 12),1.0,0-1,22.0,59.0,37.3,1.0,18-19
602,54.0,Yale (Ivy League),1.0,0-1,27.0,72.0,37.5,1.0,18-19
603,51.0,Temple (AAC),1.0,0-1,28.0,71.0,39.4,1.0,18-19
604,49.0,Iona (MAAC),1.0,0-1,22.0,55.0,40.0,1.0,18-19
605,47.0,Seton Hall (Big East),1.0,0-1,25.0,62.0,40.3,1.0,18-19
606,44.0,Syracuse (ACC),1.0,0-1,21.0,51.0,41.2,1.0,18-19
607,39.0,Saint Mary's (CA) (WCC),1.0,0-1,23.0,55.0,41.8,1.0,18-19
608,38.0,N.C. Central (MEAC),1.0,0-1,24.0,57.0,42.1,1.0,18-19
609,37.0,Bradley (MVC),1.0,0-1,22.0,52.0,42.3,1.0,18-19
610,32.0,Cincinnati (AAC),1.0,0-1,28.0,65.0,43.1,1.0,18-19
611,28.0,Vermont (America East),1.0,0-1,23.0,53.0,43.4,1.0,18-19
612,28.0,Iowa St. (Big 12),1.0,0-1,23.0,53.0,43.4,1.0,18-19
613,27.0,Prairie View (SWAC),1.0,0-1,28.0,64.0,43.8,1.0,18-19
614,26.0,Gardner-Webb (Big South),1.0,0-1,22.0,50.0,44.0,1.0,18-19
615,24.0,Louisville (ACC),1.0,0-1,26.0,59.0,44.1,1.0,18-19
616,21.0,Colgate (Patriot),1.0,0-1,25.0,56.0,44.6,1.0,18-19
617,12.0,Ole Miss (SEC),1.0,0-1,29.0,62.0,46.8,1.0,18-19
618,6.0,Mississippi St. (SEC),1.0,0-1,25.0,52.0,48.1,1.0,18-19
619,2.0,New Mexico St. (WAC),1.0,0-1,25.0,51.0,49.0,1.0,18-19
620,,,,,,,,,18-19
621,,,,,,,,,18-19
622,1.0,Villanova (Big East),6.0,6-0,181.0,311.0,58.2,1.0,15-16
623,11.0,North Carolina (ACC),6.0,5-1,188.0,374.0,50.3,1.0,15-16
624,42.0,Syracuse (ACC),5.0,4-1,118.0,286.0,41.3,1.0,15-16
625,26.0,Oklahoma (Big 12),5.0,4-1,134.0,297.0,45.1,1.0,15-16
626,22.0,Oregon (Pac-12),4.0,3-1,108.0,233.0,46.4,1.0,15-16
627,12.0,Kansas (Big 12),4.0,3-1,116.0,233.0,49.8,1.0,15-16
628,6.0,Notre Dame (ACC),4.0,3-1,103.0,198.0,52.0,1.0,15-16
629,5.0,Virginia (ACC),4.0,3-1,115.0,220.0,52.3,1.0,15-16
630,59.0,Wichita St. (MVC),3.0,2-1,66.0,177.0,37.3,1.0,15-16
631,55.0,Wisconsin (Big Ten),3.0,2-1,65.0,169.0,38.5,1.0,15-16
632,33.0,Texas A&M (SEC),3.0,2-1,85.0,192.0,44.3,1.0,15-16
633,25.0,Maryland (Big Ten),3.0,2-1,67.0,148.0,45.3,1.0,15-16
634,17.0,Gonzaga (WCC),3.0,2-1,82.0,172.0,47.7,1.0,15-16
635,16.0,Duke (ACC),3.0,2-1,78.0,163.0,47.9,1.0,15-16
636,10.0,Miami (FL) (ACC),3.0,2-1,70.0,139.0,50.4,1.0,15-16
637,8.0,Indiana (Big Ten),3.0,2-1,87.0,170.0,51.2,1.0,15-16
638,4.0,Iowa St. (Big 12),3.0,2-1,89.0,169.0,52.7,1.0,15-16
