Team,Madness,Years,AST,TO,Ratio,TPG,3FG%,PTS,PPG,ORebs,DRebs,REB,RPG,FGM_y,FGA_y,FT,FTA,FT%
Florida St. (ACC),0.0,13-14,385,512,0.75,14.22222222222222,38.0,"2,554",70.9,392,864,"1,256",0.0,873,"1,873",617,855,72.2
Missouri (SEC),0.0,13-14,355,442,0.8,12.628571428571428,34.4,"2,553",72.9,383,910,"1,293",0.0,824,"1,806",703,948,74.2
West Virginia (Big 12),0.0,13-14,432,323,1.34,9.787878787878787,38.1,"2,546",77.2,393,783,"1,176",0.0,866,"1,973",556,771,72.1
LSU (SEC),0.0,13-14,480,464,1.03,13.647058823529411,34.2,"2,540",74.7,444,890,"1,334",0.0,918,"2,067",473,707,66.9
Manhattan (MAAC),1.0,13-14,433,468,0.93,14.181818181818182,36.9,"2,540",77.0,415,819,"1,234",0.0,828,"1,837",676,"1,019",66.3
California (Pac-12),0.0,13-14,537,356,1.51,10.17142857142857,34.5,"2,533",72.4,353,894,"1,247",0.0,921,"2,014",492,717,68.6
San Diego St. (Mountain West),1.0,13-14,356,355,1.0,9.86111111111111,35.8,"2,530",70.3,470,894,"1,364",0.0,873,"2,009",598,902,66.3
North Dakota (Big Sky),0.0,13-14,417,379,1.1,11.147058823529411,32.7,"2,526",74.3,378,693,"1,071",0.0,889,"1,951",548,797,68.8
Western Caro. (SoCon),0.0,13-14,415,414,1.0,12.176470588235292,35.1,"2,524",74.2,461,765,"1,226",0.0,868,"2,042",540,754,71.6
Charleston So. (Big South),0.0,13-14,424,334,1.27,10.774193548387096,38.3,"2,523",81.4,366,794,"1,160",0.0,859,"1,876",503,691,72.8
Quinnipiac (MAAC),0.0,13-14,404,402,1.0,12.5625,35.7,"2,521",78.8,535,919,"1,454",0.0,835,"1,968",678,947,71.6
New Mexico (Mountain West),1.0,13-14,522,360,1.45,10.588235294117649,33.2,"2,516",74.0,360,936,"1,296",0.0,847,"1,851",625,864,72.3
N.C. Central (MEAC),1.0,13-14,498,389,1.28,11.441176470588236,33.8,"2,513",73.9,403,794,"1,197",0.0,847,"1,832",635,872,72.8
FGCU (ASUN),0.0,13-14,447,460,0.97,13.142857142857142,32.9,"2,504",71.5,348,934,"1,282",0.0,914,"1,958",476,706,67.4
Mount St. Mary's (NEC),1.0,13-14,389,388,1.0,11.757575757575758,35.5,"2,504",75.9,328,725,"1,053",0.0,843,"1,923",522,706,73.9
Massachusetts (Atlantic 10),1.0,13-14,498,446,1.12,13.515151515151516,34.6,"2,502",75.8,404,863,"1,267",0.0,900,"1,961",525,769,68.3
Saint Mary's (CA) (WCC),0.0,13-14,430,409,1.05,11.685714285714283,38.4,"2,502",71.5,407,781,"1,188",0.0,819,"1,818",618,873,70.8
USC Upstate (ASUN),0.0,13-14,526,413,1.27,12.147058823529411,31.5,"2,492",73.3,424,872,"1,296",0.0,890,"1,966",502,744,67.5
Boston U. (Patriot),0.0,13-14,491,411,1.19,11.742857142857142,36.3,"2,492",71.2,333,827,"1,160",0.0,894,"1,978",422,591,71.4
North Dakota St. (Summit League),1.0,13-14,382,325,1.18,9.848484848484848,36.4,"2,492",75.5,307,774,"1,081",0.0,888,"1,759",540,719,75.1
Chattanooga (SoCon),0.0,13-14,391,442,0.88,13.393939393939394,33.2,"2,489",75.4,441,794,"1,235",0.0,832,"1,922",609,866,70.3
UNC Asheville (Big South),0.0,13-14,402,438,0.92,13.6875,37.1,"2,486",77.7,385,817,"1,202",0.0,836,"1,832",591,793,74.5
Arizona St. (Pac-12),1.0,13-14,471,377,1.25,11.424242424242424,39.0,"2,486",75.3,281,891,"1,172",0.0,836,"1,852",546,787,69.4
Niagara (MAAC),0.0,13-14,330,450,0.73,13.636363636363637,30.0,"2,484",75.3,409,723,"1,132",0.0,836,"1,949",646,947,68.2
Pacific (WCC),0.0,13-14,425,415,1.02,12.205882352941176,36.0,"2,484",73.1,375,802,"1,177",0.0,842,"1,889",584,763,76.5
Ole Miss (SEC),0.0,13-14,413,369,1.12,11.181818181818182,33.9,"2,482",75.2,428,783,"1,211",0.0,836,"2,003",552,793,69.6
Hawaii (Big West),0.0,13-14,437,366,1.19,11.806451612903226,33.5,"2,479",80.0,395,719,"1,114",0.0,866,"1,829",570,789,72.2
Utah (Pac-12),0.0,13-14,504,396,1.27,12.0,35.1,"2,479",75.1,299,863,"1,162",0.0,869,"1,781",537,723,74.3
East Carolina (CUSA),0.0,13-14,458,398,1.15,11.705882352941176,36.8,"2,477",72.9,353,793,"1,146",0.0,809,"1,833",570,799,71.3
Tulsa (CUSA),1.0,13-14,427,394,1.08,11.588235294117649,32.7,"2,471",72.7,368,863,"1,231",0.0,835,"1,899",604,894,67.6
San Francisco (WCC),0.0,13-14,479,381,1.26,11.545454545454543,36.2,"2,469",74.8,373,803,"1,176",0.0,861,"1,819",523,807,64.8
UC Irvine (Big West),0.0,13-14,546,444,1.23,12.685714285714283,35.4,"2,468",70.5,380,970,"1,350",0.0,909,"1,932",453,707,64.1
Milwaukee (Horizon),1.0,13-14,476,469,1.01,13.4,32.5,"2,465",70.4,343,839,"1,182",0.0,808,"1,888",604,823,73.4
Idaho (WAC),0.0,13-14,384,388,0.99,11.411764705882351,35.5,"2,461",72.4,358,803,"1,161",0.0,833,"1,865",579,842,68.8
Youngstown St. (Horizon),0.0,13-14,499,357,1.4,11.15625,35.0,"2,461",76.9,297,768,"1,065",0.0,836,"1,822",540,736,73.4
Coastal Carolina (Big South),1.0,13-14,362,473,0.77,13.911764705882351,33.8,"2,458",72.3,434,902,"1,336",0.0,861,"1,969",524,758,69.1
Colorado (Pac-12),1.0,13-14,397,466,0.85,13.314285714285717,31.8,"2,457",70.2,401,904,"1,305",0.0,814,"1,871",648,903,71.8
Oakland (Horizon),0.0,13-14,522,367,1.42,11.12121212121212,37.0,"2,455",74.4,298,727,"1,025",0.0,821,"1,890",534,732,73.0
Virginia (ACC),1.0,13-14,484,370,1.31,10.0,36.9,"2,449",66.2,391,921,"1,312",0.0,855,"1,884",533,792,67.3
UT Arlington (Sun Belt),0.0,13-14,390,431,0.9,13.46875,34.6,"2,443",76.3,373,812,"1,185",0.0,815,"1,865",554,785,70.6
Seton Hall (Big East),0.0,13-14,452,415,1.09,12.205882352941176,35.8,"2,442",71.8,288,815,"1,103",0.0,816,"1,797",558,774,72.1
Xavier (Big East),1.0,13-14,497,421,1.18,12.382352941176473,34.8,"2,442",71.8,379,834,"1,213",0.0,869,"1,850",530,770,68.8
Winthrop (Big South),0.0,13-14,378,412,0.92,12.484848484848484,39.7,"2,442",74.0,333,739,"1,072",0.0,821,"1,843",528,741,71.3
