Team,Madness,Years,AST,TO,Ratio,TPG,3FG%,PTS,PPG,ORebs,DRebs,REB,RPG,FGM_y,FGA_y,FT,FTA,FT%
Northeastern (CAA),1.0,18-19,480,381,1.26,11.205882352941176,38.2,"2,564",75.4,239,836,"1,075",31.62,880,"1,848",476,634,75.1
Drake (MVC),0.0,18-19,518,449,1.15,13.205882352941176,36.1,"2,563",75.4,279,935,"1,214",35.71,908,"1,943",468,618,75.7
Eastern Ky. (OVC),0.0,18-19,458,447,1.02,14.419354838709678,32.7,"2,562",82.6,369,798,"1,167",37.65,902,"2,125",486,683,71.2
Furman (SoCon),0.0,18-19,524,407,1.29,12.333333333333334,36.1,"2,562",77.6,326,844,"1,170",35.45,930,"1,962",364,508,71.7
Wright St. (Horizon),0.0,18-19,484,402,1.2,11.485714285714286,34.4,"2,561",73.2,389,841,"1,230",35.14,885,"2,028",510,692,73.7
Arkansas (SEC),0.0,18-19,543,450,1.21,13.235294117647058,34.5,"2,559",75.3,345,798,"1,143",33.62,893,"2,004",514,769,66.8
Grand Canyon (WAC),0.0,18-19,478,411,1.16,12.088235294117649,33.1,"2,558",75.2,351,887,"1,238",36.41,907,"2,006",487,666,73.1
Sacred Heart (NEC),0.0,18-19,471,465,1.01,14.53125,35.7,"2,558",79.9,360,871,"1,231",38.47,885,"1,926",545,722,75.5
App State (Sun Belt),0.0,18-19,406,419,0.97,13.09375,35.9,"2,557",79.9,311,814,"1,125",35.16,880,"1,938",505,706,71.5
North Dakota St. (Summit League),1.0,18-19,402,369,1.09,10.542857142857144,36.5,"2,556",73.0,232,872,"1,104",31.54,874,"1,926",476,613,77.7
The Citadel (SoCon),0.0,18-19,463,386,1.2,12.866666666666667,34.4,"2,553",85.1,322,782,"1,104",36.8,899,"2,011",385,523,73.6
Long Beach St. (Big West),0.0,18-19,399,480,0.83,14.117647058823527,34.4,"2,545",74.9,381,882,"1,263",37.15,877,"2,031",574,831,69.1
Minnesota (Big Ten),1.0,18-19,523,419,1.25,11.63888888888889,31.7,"2,543",70.6,407,906,"1,313",36.47,887,"2,039",578,848,68.2
Toledo (MAC),0.0,18-19,539,401,1.34,12.151515151515152,37.8,"2,537",76.9,332,952,"1,284",38.91,901,"1,992",410,531,77.2
Louisville (ACC),1.0,18-19,458,414,1.11,12.176470588235292,34.2,"2,536",74.6,347,950,"1,297",38.15,854,"1,967",534,687,77.7
Bucknell (Patriot),0.0,18-19,519,408,1.27,12.363636363636363,35.1,"2,534",76.8,289,865,"1,154",34.97,867,"1,928",489,653,74.9
Iona (MAAC),1.0,18-19,432,409,1.06,12.393939393939394,35.1,"2,532",76.7,284,843,"1,127",34.15,857,"1,897",521,699,74.5
Oakland (Horizon),0.0,18-19,580,427,1.36,12.93939393939394,38.5,"2,532",76.7,279,784,"1,063",32.21,863,"1,858",492,663,74.2
BYU (WCC),0.0,18-19,482,355,1.36,11.09375,33.0,"2,527",79.0,265,853,"1,118",34.94,878,"1,878",545,750,72.7
Xavier (Big East),0.0,18-19,519,464,1.12,13.257142857142858,33.1,"2,526",72.2,372,912,"1,284",36.69,922,"1,977",437,644,67.9
Omaha (Summit League),0.0,18-19,409,304,1.35,9.5,39.2,"2,523",78.8,273,774,"1,047",32.72,950,"1,998",341,473,72.1
Southern California (Pac-12),0.0,18-19,536,392,1.37,11.87878787878788,38.2,"2,518",76.3,324,861,"1,185",35.91,937,"2,039",363,563,64.5
Saint Francis (PA) (NEC),0.0,18-19,413,403,1.02,12.212121212121213,35.1,"2,517",76.3,432,814,"1,246",37.76,885,"2,034",493,698,70.6
UNCW (CAA),0.0,18-19,495,437,1.13,13.242424242424242,34.9,"2,513",76.2,393,829,"1,222",37.03,880,"1,986",493,673,73.3
Washington (Pac-12),1.0,18-19,419,481,0.87,13.36111111111111,35.0,"2,511",69.8,337,790,"1,127",31.31,883,"1,956",472,679,69.5
Cincinnati (AAC),1.0,18-19,466,365,1.28,10.428571428571429,34.5,"2,510",71.7,448,816,"1,264",36.11,872,"2,018",534,758,70.4
Seton Hall (Big East),1.0,18-19,459,423,1.09,12.441176470588236,32.4,"2,508",73.8,362,853,"1,215",35.74,888,"2,021",492,697,70.6
Vermont (America East),1.0,18-19,399,377,1.06,11.088235294117649,35.9,"2,508",73.8,314,880,"1,194",35.12,864,"1,887",507,678,74.8
IUPUI (Horizon),0.0,18-19,471,462,1.02,14.0,33.7,"2,507",76.0,405,829,"1,234",37.39,891,"1,970",491,699,70.2
NIU (MAC),0.0,18-19,374,405,0.92,11.911764705882351,35.7,"2,506",73.7,308,871,"1,179",34.68,940,"1,995",397,543,73.1
Indiana (Big Ten),0.0,18-19,469,433,1.08,12.371428571428572,31.2,"2,504",71.5,341,931,"1,272",36.34,919,"2,009",455,695,65.5
Montana St. (Big Sky),0.0,18-19,491,394,1.25,12.3125,37.4,"2,502",78.2,295,788,"1,083",33.84,858,"1,882",480,651,73.7
Abilene Christian (Southland),1.0,18-19,524,407,1.29,11.970588235294118,38.0,"2,502",73.6,328,782,"1,110",32.65,897,"1,911",457,642,71.2
Winthrop (Big South),0.0,18-19,460,456,1.01,15.2,37.3,"2,499",83.3,330,901,"1,231",41.03,855,"1,878",417,565,73.8
Campbell (Big South),0.0,18-19,482,337,1.43,10.212121212121213,34.3,"2,495",75.6,268,782,"1,050",31.82,867,"1,906",448,590,75.9
North Florida (ASUN),0.0,18-19,520,536,0.97,16.242424242424242,34.3,"2,485",75.3,363,889,"1,252",37.94,902,"2,014",373,539,69.2
Ole Miss (SEC),1.0,18-19,475,416,1.14,12.606060606060606,35.8,"2,485",75.3,323,805,"1,128",34.18,876,"1,906",461,589,78.3
UTSA (CUSA),0.0,18-19,420,402,1.04,12.5625,34.4,"2,481",77.5,326,890,"1,216",38.0,896,"2,068",395,536,73.7
Kent St. (MAC),0.0,18-19,430,378,1.14,11.454545454545457,33.7,"2,481",75.2,414,771,"1,185",35.91,878,"2,032",464,641,72.4
Lehigh (Patriot),0.0,18-19,471,419,1.12,13.516129032258064,42.3,"2,479",80.0,232,873,"1,105",35.65,856,"1,775",480,620,77.4
Ball St. (MAC),0.0,18-19,426,480,0.89,14.545454545454543,32.5,"2,478",75.1,311,932,"1,243",37.67,889,"1,892",498,709,70.2
South Alabama (Sun Belt),0.0,18-19,471,456,1.03,13.411764705882351,37.5,"2,478",72.9,288,805,"1,093",32.15,867,"1,883",459,669,68.6
Hartford (America East),0.0,18-19,462,401,1.15,12.151515151515152,38.1,"2,477",75.1,281,770,"1,051",31.85,848,"1,862",459,619,74.2
Sam Houston (Southland),0.0,18-19,555,413,1.34,12.515151515151516,36.7,"2,476",75.0,369,822,"1,191",36.09,889,"2,011",390,518,75.3
Portland St. (Big Sky),0.0,18-19,434,449,0.97,14.03125,30.9,"2,475",77.3,499,782,"1,281",40.03,856,"2,017",525,748,70.2
NJIT (ASUN),0.0,18-19,376,421,0.89,12.028571428571428,34.5,"2,472",70.6,257,921,"1,178",33.66,849,"1,913",528,732,72.1
UAB (CUSA),0.0,18-19,401,399,1.01,11.4,33.7,"2,470",70.6,368,913,"1,281",36.6,906,"2,003",424,630,67.3
Texas St. (Sun Belt),0.0,18-19,493,455,1.08,13.382352941176473,32.8,"2,470",72.6,413,878,"1,291",37.97,876,"1,971",474,694,68.3
Temple (AAC),1.0,18-19,476,368,1.29,11.151515151515152,33.0,"2,465",74.7,326,810,"1,136",34.42,873,"1,998",472,649,72.7
Houston Christian (Southland),0.0,18-19,449,442,1.02,14.733333333333333,34.0,"2,465",82.2,413,729,"1,142",38.07,865,"1,896",535,793,67.5
Saint Mary's (CA) (WCC),1.0,18-19,341,357,0.96,10.5,37.8,"2,463",72.4,334,845,"1,179",34.68,899,"1,905",412,555,74.2
Eastern Wash. (Big Sky),0.0,18-19,467,401,1.16,11.794117647058824,35.0,"2,460",72.4,303,889,"1,192",35.06,876,"2,040",398,546,72.9
UMass Lowell (America East),0.0,18-19,500,447,1.12,13.96875,34.1,"2,456",76.8,296,819,"1,115",34.84,875,"1,852",460,639,72.0
Col. of Charleston (CAA),0.0,18-19,387,347,1.12,10.515151515151516,34.0,"2,453",74.3,260,799,"1,059",32.09,878,"1,818",470,615,76.4
Northern Colo. (Big Sky),0.0,18-19,422,399,1.06,12.46875,36.2,"2,450",76.6,310,819,"1,129",35.28,849,"1,837",445,633,70.3
Robert Morris (NEC),0.0,18-19,487,507,0.96,14.485714285714286,35.5,"2,448",69.9,380,798,"1,178",33.66,861,"1,991",446,638,69.9
Alabama (SEC),0.0,18-19,418,465,0.9,13.676470588235292,34.0,"2,448",72.0,384,901,"1,285",37.79,856,"1,945",492,739,66.6
Fresno St. (Mountain West),0.0,18-19,457,400,1.14,12.5,38.1,"2,448",76.5,300,842,"1,142",35.69,847,"1,866",412,572,72.0
New Mexico (Mountain West),0.0,18-19,446,456,0.98,14.25,34.6,"2,443",76.3,362,841,"1,203",37.59,814,"1,929",523,745,70.2
Baylor (Big 12),1.0,18-19,473,447,1.06,13.147058823529411,34.1,"2,442",71.8,450,824,"1,274",37.47,869,"1,966",430,635,67.7
Radford (Big South),0.0,18-19,467,358,1.3,10.848484848484848,37.9,"2,440",73.9,335,834,"1,169",35.42,893,"1,938",369,515,71.7
Florida (SEC),1.0,18-19,437,420,1.04,11.666666666666666,33.4,"2,440",67.8,376,822,"1,198",33.28,857,"2,015",435,603,72.1
Cal St. Fullerton (Big West),0.0,18-19,407,451,0.9,13.264705882352942,31.7,"2,437",71.7,288,936,"1,224",36.0,868,"1,911",514,726,70.8
San Diego St. (Mountain West),0.0,18-19,487,424,1.15,12.470588235294118,36.2,"2,437",71.7,346,882,"1,228",36.12,845,"1,940",486,679,71.6
UConn (AAC),0.0,18-19,422,427,0.99,12.93939393939394,34.4,"2,436",73.8,381,790,"1,171",35.48,874,"1,959",436,641,68.0
Gonzaga (WCC),0.0,19-20,550,368,1.49,11.151515151515152,38.6,"2,885",87.4,373,948,"1,321",40.03,"1,048","2,035",543,789,68.8
Winthrop (Big South),0.0,19-20,542,471,1.15,13.852941176470589,34.6,"2,765",81.3,450,938,"1,388",40.82,980,"2,120",483,760,63.6
Green Bay (Horizon),0.0,19-20,534,411,1.3,12.454545454545457,36.9,"2,694",81.6,325,875,"1,200",36.36,968,"2,109",506,669,75.6
Hampton (Big South),0.0,19-20,497,398,1.25,11.705882352941176,33.2,"2,635",77.5,359,889,"1,248",36.71,924,"2,025",574,821,69.9
Belmont (OVC),0.0,19-20,604,392,1.54,11.87878787878788,35.2,"2,627",79.6,292,940,"1,232",37.33,986,"2,074",335,470,71.3
Utah St. (Mountain West),0.0,19-20,561,426,1.32,12.529411764705882,33.3,"2,600",76.5,366,"1,020","1,386",40.76,905,"1,967",542,710,76.3
Hofstra (CAA),0.0,19-20,419,383,1.09,11.264705882352942,37.5,"2,596",76.4,353,831,"1,184",34.82,895,"1,991",524,669,78.3
ETSU (SoCon),0.0,19-20,471,412,1.14,12.117647058823527,34.6,"2,593",76.3,371,836,"1,207",35.5,919,"1,936",495,713,69.4
Colgate (Patriot),0.0,19-20,491,370,1.33,10.882352941176473,35.7,"2,588",76.1,342,906,"1,248",36.71,932,"2,079",382,510,74.9
North Florida (ASUN),0.0,19-20,517,390,1.33,11.818181818181818,37.9,"2,583",78.3,327,811,"1,138",34.48,889,"1,974",414,543,76.2
Wright St. (Horizon),0.0,19-20,445,396,1.12,12.375,36.1,"2,580",80.6,389,890,"1,279",39.97,917,"2,010",499,741,67.3
Coastal Carolina (Sun Belt),0.0,19-20,446,518,0.86,15.696969696969695,33.7,"2,573",78.0,442,887,"1,329",40.27,915,"2,030",501,700,71.6
Saint Mary's (CA) (WCC),0.0,19-20,404,336,1.2,9.882352941176473,39.6,"2,559",75.3,265,830,"1,095",32.21,922,"1,925",439,582,75.4
Duke (ACC),0.0,19-20,479,409,1.17,13.193548387096774,35.2,"2,558",82.5,394,850,"1,244",40.13,920,"1,957",501,696,72.0
BYU (WCC),0.0,19-20,556,354,1.57,11.0625,42.2,"2,548",79.6,209,854,"1,063",33.22,949,"1,898",318,454,70.0
South Dakota (Summit League),0.0,19-20,444,340,1.31,10.625,39.1,"2,547",79.6,200,847,"1,047",32.72,889,"1,806",536,710,75.5
San Francisco (WCC),0.0,19-20,410,412,1.0,12.117647058823527,33.4,"2,546",74.9,359,875,"1,234",36.29,906,"2,050",434,603,72.0
Alabama (SEC),0.0,19-20,441,462,0.95,14.903225806451612,34.9,"2,542",82.0,363,857,"1,220",39.35,854,"1,956",500,721,69.3
McNeese (Southland),0.0,19-20,522,514,1.02,16.0625,39.9,"2,540",79.4,322,834,"1,156",36.12,911,"1,833",449,620,72.4
New Mexico (Mountain West),0.0,19-20,494,475,1.04,14.393939393939394,32.7,"2,531",76.7,312,847,"1,159",35.12,892,"1,913",517,718,72.0
Valparaiso (MVC),0.0,19-20,533,446,1.2,12.742857142857142,34.0,"2,530",72.3,329,868,"1,197",34.2,922,"2,088",399,559,71.4
Wofford (SoCon),0.0,19-20,472,427,1.11,12.2,35.3,"2,523",72.1,275,825,"1,100",31.43,909,"1,974",369,518,71.2
Austin Peay (OVC),0.0,19-20,434,424,1.02,12.848484848484848,34.6,"2,519",76.3,390,799,"1,189",36.03,892,"1,943",512,715,71.6
Portland St. (Big Sky),0.0,19-20,432,409,1.06,12.78125,33.2,"2,518",78.7,451,721,"1,172",36.62,927,"2,070",456,634,71.9
Buffalo (MAC),0.0,19-20,473,437,1.08,13.65625,32.3,"2,516",78.6,463,879,"1,342",41.94,927,"2,139",401,598,67.1
Eastern Wash. (Big Sky),0.0,19-20,543,398,1.36,12.838709677419354,34.9,"2,509",80.9,328,858,"1,186",38.26,913,"1,986",395,569,69.4
Central Mich. (MAC),0.0,19-20,371,407,0.91,12.71875,32.4,"2,506",78.3,351,808,"1,159",36.22,876,"2,037",507,680,74.6
LIU (NEC),0.0,19-20,471,463,1.02,14.030303030303031,34.4,"2,504",75.9,259,867,"1,126",34.12,867,"1,966",458,641,71.5
Georgia St. (Sun Belt),0.0,19-20,467,452,1.03,14.125,36.2,"2,499",78.1,373,806,"1,179",36.84,879,"2,005",463,626,74.0
SFA (Southland),0.0,19-20,465,550,0.85,17.741935483870968,36.2,"2,499",80.6,409,757,"1,166",37.61,887,"1,806",546,790,69.1
Santa Clara (WCC),0.0,19-20,507,443,1.14,13.424242424242424,35.4,"2,498",75.7,241,887,"1,128",34.18,877,"1,898",495,667,74.2
LSU (SEC),0.0,19-20,398,390,1.02,12.580645161290322,32.7,"2,495",80.5,375,855,"1,230",39.68,886,"1,880",512,666,76.9
Ga. Southern (Sun Belt),0.0,19-20,407,428,0.95,12.969696969696969,32.8,"2,494",75.6,327,855,"1,182",35.82,874,"1,979",486,721,67.4
South Dakota St. (Summit League),0.0,19-20,456,415,1.1,12.96875,34.7,"2,493",77.9,307,917,"1,224",38.25,914,"1,861",430,608,70.7
Saint Francis (PA) (NEC),0.0,19-20,374,390,0.96,12.1875,36.0,"2,485",77.7,363,803,"1,166",36.44,899,"1,923",483,644,75.0
Oral Roberts (Summit League),0.0,19-20,408,321,1.27,10.35483870967742,33.4,"2,485",80.2,364,813,"1,177",37.97,898,"2,004",436,582,74.9
Dayton (Atlantic 10),0.0,19-20,546,384,1.42,12.387096774193548,37.1,"2,480",80.0,242,843,"1,085",35.0,905,"1,725",421,585,72.0
North Dakota (Summit League),0.0,19-20,424,440,0.96,13.333333333333334,34.0,"2,470",74.8,283,892,"1,175",35.61,855,"1,875",501,658,76.1
North Dakota St. (Summit League),0.0,19-20,393,331,1.19,10.030303030303031,35.6,"2,467",74.8,257,919,"1,176",35.64,837,"1,878",490,614,79.8
Eastern Ky. (OVC),0.0,19-20,397,461,0.86,13.969696969696969,32.1,"2,464",74.7,334,779,"1,113",33.73,857,"2,085",482,664,72.6
UTSA (CUSA),0.0,19-20,398,413,0.96,12.90625,35.0,"2,461",76.9,353,895,"1,248",39.0,866,"2,076",421,552,76.3
Furman (SoCon),0.0,19-20,475,367,1.29,11.46875,35.2,"2,457",76.8,249,761,"1,010",31.56,881,"1,857",393,561,70.1
FIU (CUSA),0.0,19-20,471,482,0.98,15.0625,34.9,"2,455",76.7,351,792,"1,143",35.72,898,"1,968",373,574,65.0
Delaware (CAA),0.0,19-20,432,425,1.02,12.87878787878788,35.6,"2,452",74.3,252,855,"1,107",33.55,881,"1,834",439,579,75.8
Samford (SoCon),0.0,19-20,393,514,0.76,15.575757575757576,33.1,"2,448",74.2,354,859,"1,213",36.76,862,"1,999",505,679,74.4
Arizona (Pac-12),0.0,19-20,492,380,1.29,11.875,35.2,"2,445",76.4,349,849,"1,198",37.44,850,"1,905",512,699,73.2
Western Caro. (SoCon),0.0,19-20,453,445,1.02,14.35483870967742,36.9,"2,444",78.8,302,863,"1,165",37.58,837,"1,790",468,659,71.0
Kent St. (MAC),0.0,19-20,445,410,1.09,12.8125,33.9,"2,442",76.3,350,814,"1,164",36.38,886,"1,952",402,553,72.7
Pepperdine (WCC),0.0,19-20,475,408,1.16,12.75,35.1,"2,441",76.3,310,794,"1,104",34.5,840,"1,934",506,639,79.2
Bradley (MVC),0.0,19-20,457,401,1.14,11.794117647058824,37.2,"2,438",71.7,379,931,"1,310",38.53,872,"1,976",464,630,73.7
CSUN (Big West),0.0,19-20,449,365,1.23,11.40625,37.3,"2,435",76.1,291,777,"1,068",33.38,877,"1,925",438,603,72.6
Boise St. (Mountain West),0.0,19-20,416,399,1.04,12.46875,34.5,"2,430",75.9,285,828,"1,113",34.78,829,"1,853",503,670,75.1
Marshall (CUSA),0.0,19-20,454,474,0.96,14.8125,31.3,"2,429",75.9,348,892,"1,240",38.75,897,"2,028",390,588,66.3
Georgia (SEC),0.0,19-20,431,473,0.91,14.78125,30.0,"2,428",75.9,377,836,"1,213",37.91,875,"1,941",455,648,70.2
Creighton (Big East),0.0,19-20,489,337,1.45,10.870967741935484,38.6,"2,428",78.3,246,833,"1,079",34.81,866,"1,839",394,533,73.9
Arkansas (SEC),0.0,19-20,381,369,1.03,11.53125,33.4,"2,426",75.8,240,769,"1,009",31.53,808,"1,825",567,776,73.1
Sacred Heart (NEC),0.0,19-20,435,463,0.94,14.030303030303031,32.7,"2,420",73.3,436,928,"1,364",41.33,843,"1,961",483,658,73.4
Auburn (SEC),0.0,19-20,397,399,0.99,12.870967741935484,30.6,"2,419",78.0,420,845,"1,265",40.81,808,"1,868",551,818,67.4
Sam Houston (Southland),0.0,19-20,490,444,1.1,14.32258064516129,34.2,"2,417",78.0,320,754,"1,074",34.65,874,"1,937",433,584,74.1
Louisiana (Sun Belt),0.0,19-20,378,466,0.81,14.12121212121212,32.1,"2,416",73.2,351,814,"1,165",35.3,825,"1,972",507,682,74.3
Colorado St. (Mountain West),0.0,19-20,497,418,1.19,13.0625,36.6,"2,415",75.5,284,859,"1,143",35.72,841,"1,793",475,700,67.9
Murray St. (OVC),0.0,19-20,461,440,1.05,13.75,36.9,"2,413",75.4,308,909,"1,217",38.03,852,"1,789",499,704,70.9
UIC (Horizon),0.0,19-20,494,550,0.9,15.714285714285714,33.7,"2,412",68.9,333,977,"1,310",37.43,880,"1,984",400,584,68.5
Boston U. (Patriot),0.0,19-20,433,384,1.13,11.294117647058824,32.6,"2,410",70.9,348,883,"1,231",36.21,919,"1,999",348,541,64.3
Chattanooga (SoCon),0.0,19-20,456,395,1.15,11.969696969696969,35.7,"2,410",73.0,301,861,"1,162",35.21,868,"1,907",393,552,71.2
Iowa (Big Ten),0.0,19-20,538,376,1.43,12.129032258064516,34.7,"2,410",77.7,355,807,"1,162",37.48,842,"1,868",482,643,75.0
Youngstown St. (Horizon),0.0,19-20,413,397,1.04,12.030303030303031,30.8,"2,401",72.8,455,833,"1,288",39.03,870,"2,055",425,616,69.0
San Diego St. (Mountain West),0.0,19-20,474,344,1.38,10.75,38.0,"2,395",74.8,297,824,"1,121",35.03,852,"1,820",400,519,77.1
Nevada (Mountain West),0.0,19-20,462,373,1.24,12.03225806451613,38.3,"2,389",77.1,274,921,"1,195",38.55,840,"1,879",400,531,75.3
Georgetown (Big East),0.0,19-20,479,433,1.11,13.53125,34.6,"2,389",74.7,378,844,"1,222",38.19,840,"1,921",503,652,77.1
NC State (ACC),0.0,19-20,434,383,1.13,11.96875,31.9,"2,388",74.6,332,810,"1,142",35.69,885,"1,958",396,558,71.0
Nicholls (Southland),0.0,19-20,408,421,0.97,13.580645161290322,33.7,"2,388",77.0,360,729,"1,089",35.13,881,"1,985",377,504,74.8
UMass Lowell (America East),0.0,19-20,462,431,1.07,13.46875,33.9,"2,388",74.6,304,786,"1,090",34.06,838,"1,830",490,688,71.2
St. John's (NY) (Big East),0.0,19-20,470,359,1.31,11.21875,32.1,"2,387",74.6,405,833,"1,238",38.69,865,"2,114",445,633,70.3
Toledo (MAC),0.0,19-20,464,390,1.19,12.1875,36.6,"2,386",74.6,322,892,"1,214",37.94,802,"1,844",499,669,74.6
North Carolina (ACC),0.0,19-20,472,426,1.11,12.909090909090908,30.4,"2,381",72.2,454,928,"1,382",41.88,865,"2,058",470,689,68.2
VMI (SoCon),0.0,19-20,528,419,1.26,12.696969696969695,35.5,"2,380",72.1,338,846,"1,184",35.88,852,"1,991",317,448,70.8
Syracuse (ACC),0.0,19-20,447,363,1.23,11.34375,32.9,"2,378",74.3,336,810,"1,146",35.81,813,"1,867",493,666,74.0
Eastern Ill. (OVC),0.0,19-20,450,402,1.12,12.5625,34.2,"2,377",74.3,343,827,"1,170",36.56,890,"1,945",382,579,66.0
Notre Dame (ACC),0.0,19-20,528,315,1.68,9.84375,34.5,"2,376",74.2,322,887,"1,209",37.78,850,"1,993",366,498,73.5
Robert Morris (NEC),0.0,19-20,562,433,1.3,12.735294117647058,36.3,"2,373",69.8,348,794,"1,142",33.59,874,"1,968",341,508,67.1
UNC Greensboro (SoCon),0.0,19-20,408,371,1.1,11.59375,32.4,"2,372",74.1,412,769,"1,181",36.91,879,"2,035",335,530,63.2
UC Irvine (Big West),0.0,19-20,475,445,1.07,13.90625,35.4,"2,367",74.0,368,901,"1,269",39.66,888,"1,878",393,532,73.9
Rice (CUSA),0.0,19-20,456,428,1.07,13.375,33.9,"2,363",73.8,292,852,"1,144",35.75,800,"1,851",446,619,72.1
Vermont (America East),0.0,19-20,456,371,1.23,11.242424242424242,32.7,"2,361",71.5,316,903,"1,219",36.94,841,"1,876",412,574,71.8
Drake (MVC),0.0,19-20,507,438,1.16,12.882352941176473,34.5,"2,359",69.4,255,894,"1,149",33.79,854,"1,864",406,569,71.4
Tennessee St. (OVC),0.0,19-20,449,573,0.78,17.363636363636363,35.1,"2,355",71.4,345,901,"1,246",37.76,864,"1,839",386,585,66.0
Michigan St. (Big Ten),0.0,19-20,549,389,1.41,12.548387096774194,34.8,"2,353",75.9,344,914,"1,258",40.58,845,"1,833",424,565,75.0
Oregon (Pac-12),0.0,19-20,446,368,1.21,11.870967741935484,39.6,"2,352",75.9,336,758,"1,094",35.29,857,"1,825",369,527,70.0
Abilene Christian (Southland),0.0,19-20,461,438,1.05,14.129032258064516,30.9,"2,352",75.9,339,706,"1,045",33.71,814,"1,813",515,695,74.1
Omaha (Summit League),0.0,19-20,393,391,1.01,12.21875,33.8,"2,352",73.5,315,844,"1,159",36.22,886,"1,973",380,534,71.2
Delaware St. (MEAC),0.0,19-20,334,488,0.68,15.25,31.5,"2,350",73.4,340,803,"1,143",35.72,824,"2,004",453,661,68.5
Akron (MAC),0.0,19-20,405,397,1.02,12.806451612903226,36.1,"2,348",75.7,302,868,"1,170",37.74,788,"1,789",485,629,77.1
Loyola Maryland (Patriot),0.0,19-20,495,439,1.13,13.71875,32.0,"2,348",73.4,285,819,"1,104",34.5,830,"1,784",476,747,63.7
Northeastern (CAA),0.0,19-20,441,395,1.12,11.969696969696969,37.1,"2,347",71.1,240,779,"1,019",30.88,856,"1,806",366,461,79.4
Texas St. (Sun Belt),0.0,19-20,455,357,1.27,11.15625,32.5,"2,339",73.1,321,785,"1,106",34.56,840,"1,835",493,652,75.6
Air Force (Mountain West),0.0,19-20,469,395,1.19,12.34375,37.5,"2,338",73.1,237,803,"1,040",32.5,802,"1,759",459,628,73.1
Elon (CAA),0.0,19-20,453,392,1.16,11.529411764705882,36.3,"2,337",68.7,282,826,"1,108",32.59,805,"1,932",381,518,73.6
Florida St. (ACC),0.0,19-20,409,411,1.0,13.258064516129032,35.1,"2,336",75.4,352,750,"1,102",35.55,844,"1,848",418,557,75.0
Richmond (Atlantic 10),0.0,19-20,482,339,1.42,10.935483870967742,36.2,"2,335",75.3,234,840,"1,074",34.65,847,"1,818",392,505,77.6
Texas Southern (SWAC),0.0,19-20,360,505,0.71,15.78125,30.4,"2,335",73.0,381,828,"1,209",37.78,806,"1,927",555,786,70.6
Marquette (Big East),0.0,19-20,406,413,0.98,13.766666666666667,38.2,"2,333",77.8,321,878,"1,199",39.97,759,"1,766",514,692,74.3
Liberty (ASUN),0.0,19-20,446,320,1.39,9.411764705882351,36.6,"2,332",68.6,250,882,"1,132",33.29,841,"1,755",390,547,71.3
Missouri St. (MVC),0.0,19-20,391,448,0.87,13.575757575757576,35.4,"2,330",70.6,359,867,"1,226",37.15,843,"1,923",414,553,74.9
UC Davis (Big West),0.0,19-20,409,408,1.0,12.75,39.7,"2,330",72.8,234,748,982,30.69,816,"1,769",439,558,78.7
UNI (MVC),0.0,19-20,379,372,1.02,12.0,38.9,"2,330",75.2,294,870,"1,164",37.55,844,"1,776",355,468,75.9
Southern Utah (Big Sky),0.0,19-20,383,433,0.88,13.53125,33.1,"2,329",72.8,292,891,"1,183",36.97,834,"1,843",466,651,71.6
Penn St. (Big Ten),0.0,19-20,443,349,1.27,11.258064516129032,32.5,"2,327",75.1,348,854,"1,202",38.77,832,"1,931",414,598,69.2
Michigan (Big Ten),0.0,19-20,454,332,1.37,10.709677419354838,33.9,"2,326",75.0,267,852,"1,119",36.1,861,"1,864",357,498,71.7
UNC Asheville (Big South),0.0,19-20,336,357,0.94,11.516129032258064,34.6,"2,326",75.0,270,680,950,30.65,837,"1,824",409,620,66.0
Houston Christian (Southland),0.0,19-20,370,488,0.76,16.82758620689655,36.4,"2,323",80.1,353,694,"1,047",36.1,798,"1,800",511,684,74.7
Gardner-Webb (Big South),0.0,19-20,438,399,1.1,12.46875,36.0,"2,318",72.4,307,817,"1,124",35.12,810,"1,809",444,640,69.4
Northern Ky. (Horizon),0.0,19-20,435,401,1.08,12.53125,30.5,"2,317",72.4,359,813,"1,172",36.62,810,"1,872",438,636,68.9
Central Ark. (Southland),0.0,19-20,451,550,0.82,17.741935483870968,31.0,"2,316",74.7,332,857,"1,189",38.35,777,"1,842",531,741,71.7
Kansas (Big 12),0.0,19-20,432,396,1.09,12.774193548387096,34.4,"2,312",74.6,333,863,"1,196",38.58,851,"1,758",411,616,66.7
Lamar University (Southland),0.0,19-20,427,467,0.91,14.59375,33.0,"2,312",72.2,360,778,"1,138",35.56,831,"1,903",461,654,70.5
N.C. A&T (MEAC),0.0,19-20,471,490,0.96,15.3125,29.6,"2,311",72.2,364,873,"1,237",38.66,826,"1,920",478,785,60.9
Bowling Green (MAC),0.0,19-20,380,343,1.11,11.064516129032258,33.8,"2,310",74.5,349,889,"1,238",39.94,822,"1,968",424,564,75.2
Kentucky (SEC),0.0,19-20,415,387,1.07,12.483870967741936,34.3,"2,307",74.4,300,836,"1,136",36.65,795,"1,723",560,703,79.7
UNLV (Mountain West),0.0,19-20,404,427,0.95,13.34375,31.9,"2,307",72.1,396,859,"1,255",39.22,812,"1,876",442,639,69.2
Howard (MEAC),0.0,19-20,443,486,0.91,14.727272727272728,34.4,"2,306",69.9,320,770,"1,090",33.03,808,"1,922",443,637,69.5
